Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
[Level 1] Login,200,756,414,5388,380.18,0.000%,35.31697,56.09,9.26,1626.4
[Level 1] Create Order,200,2275,280,3884,847.93,0.000%,38.34356,59.29,51.82,1583.5
[Level 2] Login,500,2315,327,5398,1170.46,0.000%,77.06535,122.50,20.24,1627.7
[Level 2] Create Order,500,4439,780,9596,1291.76,0.000%,50.09016,77.48,67.70,1583.9
[Level 3] Login,1000,2839,291,32198,2266.17,0.700%,30.88708,49.40,8.05,1637.9
[Level 3] Create Order,1000,7677,220,16555,3670.87,1.000%,30.95496,47.85,41.63,1582.8
TOTAL,3400,4264,220,32198,3393.33,0.500%,69.46431,109.11,55.89,1608.4
