Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
[Level 1] Login,200,851,219,5284,433.08,0.000%,32.21131,51.18,8.44,1627.1
[Level 1] Create Order,200,3321,551,5713,1133.83,0.000%,30.63725,47.37,41.41,1583.1
[Level 2] Login,500,5082,247,34564,6257.65,5.600%,14.38973,24.12,3.57,1716.1
[Level 2] Create Order,500,5259,179,32208,3727.42,6.000%,14.38683,21.95,18.92,1562.5
[Level 3] Login,1000,4274,270,36175,3794.28,2.500%,27.24944,44.29,6.98,1664.4
[Level 3] Create Order,1000,9181,186,20582,4296.11,3.100%,27.29854,42.15,36.30,1581.2
TOTAL,3400,5723,179,36175,4849.03,3.353%,43.21356,68.60,34.19,1625.6
