Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
[Level 1] Login,200,4532,3781,5920,421.97,0.000%,31.93868,50.79,8.37,1628.3
[Level 1] Create Order,200,387,253,5278,603.08,0.000%,27.94077,43.17,37.76,1582.3
[Level 2] Login,500,3078,293,30290,2142.67,0.600%,16.39398,26.21,4.28,1637.1
[Level 2] Create Order,500,2009,260,31339,2190.82,1.200%,14.99475,23.24,20.09,1587.0
[Level 3] Login,1000,23721,3973,62787,7808.97,1.700%,15.78781,25.53,4.08,1656.2
[Level 3] Create Order,1000,943,219,6509,1042.48,1.700%,16.95634,26.06,22.76,1573.5
TOTAL,3400,8291,219,62787,10949.12,1.265%,31.34652,49.37,25.11,1612.9
